Time Stamp          EXEC TI BUSFR BUSHR BUSDH BUSSD IDLFR IDLHR IDLSD BLTSL GPRST BUDTF BUDTH IDDTH DAPSI BUSDF BUDF8
2017-11-23 02:14:45   0.174 00000 00000 00000 00000 00576 00000 00288 00128 00504 00000 00000 00000 00000 00000 00000
2017-11-23 02:15:00   0.178 00000 00000 00000 00000 00576 00000 00288 00128 00504 00000 00000 00000 00000 00000 00000
2017-11-23 02:15:15   0.182 00000 00000 00000 00000 00576 00000 00288 00128 00504 00000 00000 00000 00000 00000 00000
2017-11-23 02:15:30   0.186 00000 00000 00000 00000 00576 00000 00288 00128 00504 00000 00000 00000 00000 00000 00000
2017-11-23 02:15:45   0.190 00000 00000 00000 00000 00576 00000 00288 00128 00504 00000 00000 00000 00000 00000 00000
2017-11-23 02:16:00   0.194 00000 00000 00000 00000 00576 00000 00288 00128 00504 00000 00000 00000 00000 00000 00000
2017-11-23 02:16:15   0.199 00000 00000 00000 00000 00568 00000 00284 00144 00497 00000 00000 00000 00000 00000 00000
2017-11-23 02:16:30   0.203 00000 00000 00000 00000 00568 00000 00284 00128 00497 00000 00000 00000 00000 00000 00000
2017-11-23 02:16:45   0.207 00000 00000 00000 00000 00568 00000 00284 00128 00497 00000 00000 00000 00000 00000 00000
2017-11-23 02:17:00   0.211 00000 00000 00000 00000 00568 00000 00284 00128 00497 00000 00000 00000 00000 00000 00000
2017-11-23 02:17:15   0.215 00000 00000 00000 00000 00568 00000 00280 00136 00490 00000 00000 00000 00000 00000 00000
2017-11-23 02:17:30   0.219 00000 00000 00000 00000 00560 00000 00280 00128 00490 00000 00000 00000 00000 00000 00000
2017-11-23 02:17:45   0.224 00000 00000 00000 00000 00560 00000 00280 00128 00490 00000 00000 00000 00000 00000 00000
2017-11-23 02:18:00   0.228 00000 00000 00000 00000 00560 00000 00280 00128 00490 00000 00000 00000 00000 00000 00000
2017-11-23 02:18:15   0.232 00000 00000 00000 00000 00560 00000 00280 00128 00490 00000 00000 00000 00000 00000 00000
2017-11-23 02:18:30   0.236 00000 00000 00000 00000 00552 00000 00276 00144 00483 00000 00000 00000 00000 00000 00000
2017-11-23 02:18:45   0.240 00000 00000 00000 00000 00552 00000 00276 00128 00483 00000 00000 00000 00000 00000 00000
2017-11-23 02:19:00   0.244 00000 00000 00000 00000 00552 00000 00276 00128 00483 00000 00000 00000 00000 00000 00000
2017-11-23 02:19:15   0.249 00000 00000 00000 00000 00552 00000 00276 00128 00483 00000 00000 00000 00000 00000 00000
2017-11-23 02:19:30   0.253 00000 00000 00000 00000 00545 00000 00272 00136 00483 00000 00000 00000 00000 00000 00000
2017-11-23 02:19:45   0.257 00000 00000 00000 00000 00544 00000 00272 00128 00476 00000 00000 00000 00000 00000 00000
2017-11-23 02:20:00   0.261 00000 00000 00000 00000 00544 00000 00272 00128 00476 00000 00000 00000 00000 00000 00000
2017-11-23 02:20:15   0.265 00000 00000 00000 00000 00544 00000 00272 00128 00476 00000 00000 00000 00000 00000 00000
2017-11-23 02:20:30   0.269 00000 00000 00000 00000 00536 00000 00268 00144 00469 00000 00000 00000 00000 00000 00000
2017-11-23 02:20:45   0.274 00000 00000 00000 00000 00536 00000 00268 00128 00469 00000 00000 00000 00000 00000 00000
2017-11-23 02:21:00   0.278 00000 00000 00000 00000 00536 00000 00268 00128 00469 00000 00000 00000 00000 00000 00000
2017-11-23 02:21:15   0.282 00000 00000 00000 00000 00536 00000 00268 00128 00469 00000 00000 00000 00000 00000 00000
2017-11-23 02:21:30   0.286 00000 00000 00000 00000 00536 00000 00268 00128 00469 00000 00000 00000 00000 00000 00000
2017-11-23 02:21:45   0.290 00000 00000 00000 00000 00528 00000 00264 00144 00462 00000 00000 00000 00000 00000 00000
2017-11-23 02:22:00   0.294 00000 00000 00000 00000 00528 00000 00264 00128 00462 00000 00000 00000 00000 00000 00000
2017-11-23 02:22:15   0.299 00000 00000 00000 00000 00528 00000 00264 00128 00462 00000 00000 00000 00000 00000 00000
2017-11-23 02:22:30   0.303 00000 00000 00000 00000 00528 00000 00264 00128 00462 00000 00000 00000 00000 00000 00000
2017-11-23 02:22:45   0.307 00000 00000 00000 00000 00521 00000 00260 00136 00462 00000 00000 00000 00000 00000 00000
