2017-11-23 	02:31:00 	  		Not Crossed
2017-11-23 	02:31:15 	  		Not Crossed
2017-11-23 	02:31:30 	  		Not Crossed
2017-11-23 	02:31:45 	  		Not Crossed
2017-11-23 	02:32:00 	  		Not Crossed
2017-11-23 	02:32:15 	  		Not Crossed
2017-11-23 	02:32:30 	  		Not Crossed
2017-11-23 	02:32:45 	  		Not Crossed
2017-11-23 	02:33:00 	  		Not Crossed
2017-11-23 	02:33:15 	  		Not Crossed
2017-11-23 	02:33:30 	  		Not Crossed
2017-11-23 	02:33:45 	  		Not Crossed
2017-11-23 	02:34:00 	  		Not Crossed
2017-11-23 	02:34:15 	  		Not Crossed
2017-11-23 	02:34:30 	  		Not Crossed
2017-11-23 	02:34:45 	  		Not Crossed
2017-11-23 	02:35:00 	  		Not Crossed
2017-11-23 	02:35:15 	  		Not Crossed
2017-11-23 	02:35:30 	  		Not Crossed
2017-11-23 	02:35:45 	  		Not Crossed
2017-11-23 	02:36:00 	  		Not Crossed
2017-11-23 	02:36:15 	  		Not Crossed
2017-11-23 	02:36:30 	  		Not Crossed
2017-11-23 	02:36:45 	  		Not Crossed
2017-11-23 	02:37:00 	  		Not Crossed
2017-11-23 	02:37:15 	  		Not Crossed
2017-11-23 	02:37:30 	  		Not Crossed
2017-11-23 	02:37:45 	  		Not Crossed
2017-11-23 	02:38:00 	  		Not Crossed
2017-11-23 	02:38:15 	  		Not Crossed
2017-11-23 	02:38:30 	  		Not Crossed
2017-11-23 	02:38:45 	  		Not Crossed
2017-11-23 	02:39:00 	  		Not Crossed
2017-11-23 	02:39:15 	  		Not Crossed
2017-11-23 	02:39:30 	  		Not Crossed
2017-11-23 	02:39:45 	  		Not Crossed
2017-11-23 	02:40:00 	  		Not Crossed
2017-11-23 	02:40:15 	  		Not Crossed
2017-11-23 	02:40:30 	  		Not Crossed
2017-11-23 	02:40:45 	  		Not Crossed
2017-11-23 	02:41:00 	  		Not Crossed
2017-11-23 	02:41:15 	  		Not Crossed
2017-11-23 	02:41:30 	  		Not Crossed
2017-11-23 	02:41:45 	  		Not Crossed
2017-11-23 	02:42:00 	  		Not Crossed
2017-11-23 	02:42:15 	  		Not Crossed
2017-11-23 	02:42:30 	  		Not Crossed
2017-11-23 	02:42:45 	  		Not Crossed
2017-11-23 	02:43:00 	  		Not Crossed
2017-11-23 	02:43:15 	  		Not Crossed
2017-11-23 	02:43:30 	  		Not Crossed
2017-11-23 	02:43:45 	  		Not Crossed
2017-11-23 	02:44:00 	  		Not Crossed
2017-11-23 	02:44:15 	  		Not Crossed
2017-11-23 	02:44:30 	  		Not Crossed
2017-11-23 	02:44:45 	  		Not Crossed
2017-11-23 	02:45:00 	  		Not Crossed
2017-11-23 	02:45:15 	  		Not Crossed
2017-11-23 	02:45:30 	  		Not Crossed
2017-11-23 	02:45:45 	  		Not Crossed
2017-11-23 	02:46:00 	  		Not Crossed
2017-11-23 	02:46:15 	  		Not Crossed
2017-11-23 	02:46:30 	  		Not Crossed
2017-11-23 	02:46:45 	  		Not Crossed
2017-11-23 	02:47:00 	  		Not Crossed
2017-11-23 	02:47:15 	  		Not Crossed
2017-11-23 	02:47:30 	  		Not Crossed
2017-11-23 	02:47:45 	  		Not Crossed
2017-11-23 	02:48:00 	  		Not Crossed
2017-11-23 	02:48:15 	  		Not Crossed
2017-11-23 	02:48:30 	  		Not Crossed
2017-11-23 	02:48:45 	  		Not Crossed
2017-11-23 	02:49:00 	  		Not Crossed
2017-11-23 	02:49:15 	  		Not Crossed
2017-11-23 	02:49:30 	  		Not Crossed
2017-11-23 	02:49:45 	  		Not Crossed
2017-11-23 	02:50:00 	  		Not Crossed
2017-11-23 	02:50:15 	  		Not Crossed
2017-11-23 	02:50:30 	  		Not Crossed
2017-11-23 	02:50:45 	  		Not Crossed
2017-11-23 	02:51:00 	  		Not Crossed
2017-11-23 	02:51:15 	  		Not Crossed
2017-11-23 	02:51:30 	  		Not Crossed
2017-11-23 	02:51:45 	  		Not Crossed
2017-11-23 	02:52:00 	  		Not Crossed
2017-11-23 	02:52:15 	  		Not Crossed
2017-11-23 	02:52:30 	  		Not Crossed
2017-11-23 	02:52:45 	  		Not Crossed
2017-11-23 	02:53:00 	  		Not Crossed
2017-11-23 	02:53:15 	  		Not Crossed
2017-11-23 	02:53:30 	  		Not Crossed
2017-11-23 	02:53:45 	  		Not Crossed
2017-11-23 	02:54:00 	  		Not Crossed
2017-11-23 	02:54:15 	  		Not Crossed
2017-11-23 	02:54:30 	  		Not Crossed
2017-11-23 	02:54:45 	  		Not Crossed
2017-11-23 	02:55:00 	  		Not Crossed
2017-11-23 	02:55:15 	  		Not Crossed
2017-11-23 	02:55:30 	  		Not Crossed
2017-11-23 	02:55:45 	  		Not Crossed
2017-11-23 	02:56:00 	  		Not Crossed
2017-11-23 	02:56:15 	  		Not Crossed
2017-11-23 	02:56:30 	  		Not Crossed
2017-11-23 	02:56:45 	  		Not Crossed
2017-11-23 	02:57:00 	  		Not Crossed
2017-11-23 	02:57:15 	  		Not Crossed
2017-11-23 	02:57:30 	  		Not Crossed
2017-11-23 	02:57:45 	  		Not Crossed
2017-11-23 	02:58:00 	  		Not Crossed
2017-11-23 	02:58:15 	  		Not Crossed
2017-11-23 	02:58:30 	  		Not Crossed
2017-11-23 	02:58:45 	  		Not Crossed
2017-11-23 	02:59:00 	  		Not Crossed
2017-11-23 	02:59:15 	  		Not Crossed
2017-11-23 	02:59:30 	  		Not Crossed
2017-11-23 	02:59:45 	  		Not Crossed
2017-11-23 	03:00:00 	  		Not Crossed
2017-11-23 	03:00:15 	  		Not Crossed
2017-11-23 	03:00:30 	  		Not Crossed
2017-11-23 	03:00:45 	  		Not Crossed
2017-11-23 	03:01:00 	  		Not Crossed
2017-11-23 	03:01:15 	  		Not Crossed
2017-11-23 	03:01:30 	  		Not Crossed
2017-11-23 	03:01:45 	  		Not Crossed
2017-11-23 	03:02:00 	  		Not Crossed
2017-11-23 	03:02:15 	  		Not Crossed
2017-11-23 	03:02:30 	  		Not Crossed
2017-11-23 	03:02:45 	  		Not Crossed
2017-11-23 	03:03:00 	  		Not Crossed
2017-11-23 	03:03:15 	  		Not Crossed
2017-11-23 	03:03:30 	  		Not Crossed
2017-11-23 	03:03:45 	  		Not Crossed
2017-11-23 	03:04:00 	  		Not Crossed
2017-11-23 	03:04:15 	  		Not Crossed
2017-11-23 	03:04:30 	  		Not Crossed
2017-11-23 	03:04:45 	  		Not Crossed
2017-11-23 	03:05:00 	  		Not Crossed
2017-11-23 	03:05:15 	  		Not Crossed
2017-11-23 	03:05:30 	  		Not Crossed
2017-11-23 	03:05:45 	  		Not Crossed
2017-11-23 	03:06:00 	  		Not Crossed
2017-11-23 	03:06:15 	  		Not Crossed
2017-11-23 	03:06:30 	  		Not Crossed
2017-11-23 	03:06:45 	  		Not Crossed
2017-11-23 	03:07:00 	  		Not Crossed
2017-11-23 	03:07:15 	  		Not Crossed
2017-11-23 	03:07:30 	  		Not Crossed
2017-11-23 	03:07:45 	  		Not Crossed
2017-11-23 	03:08:00 	  		Not Crossed
2017-11-23 	03:08:15 	  		Not Crossed
2017-11-23 	03:08:30 	  		Not Crossed
2017-11-23 	03:08:45 	  		Not Crossed
2017-11-23 	03:09:00 	  		Not Crossed
2017-11-23 	03:09:15 	  		Not Crossed
2017-11-23 	03:09:30 	  		Not Crossed
2017-11-23 	03:09:45 	  		Not Crossed
2017-11-23 	03:10:00 	  		Not Crossed
2017-11-23 	03:10:15 	  		Not Crossed
2017-11-23 	03:10:30 	  		Not Crossed
2017-11-23 	03:10:45 	  		Not Crossed
2017-11-23 	03:11:00 	  		Not Crossed
2017-11-23 	03:11:15 	  		Not Crossed
2017-11-23 	03:11:30 	  		Not Crossed
2017-11-23 	03:11:45 	  		Not Crossed
2017-11-23 	03:12:00 	  		Not Crossed
2017-11-23 	03:12:15 	  		Not Crossed
2017-11-23 	03:12:30 	  		Not Crossed
2017-11-23 	03:12:45 	  		Not Crossed
2017-11-23 	03:13:00 	  		Not Crossed
2017-11-23 	03:13:15 	  		Not Crossed
2017-11-23 	03:13:30 	  		Not Crossed
2017-11-23 	03:13:45 	  		Not Crossed
